2456,3.558
864,4.026
2648,4.728
1936,3.476
2328,4.486
2600,4.940
2408,3.464
2040,4.542
2328,3.573
2768,3.427
2872,4.956
3136,4.449
1440,4.694
1368,4.206
3136,3.142
1912,4.784
2736,3.491
2976,3.956
2600,4.600
1288,3.376
1096,3.618
2168,3.963
2920,3.496
1512,3.901
1720,4.573
976,3.051
2168,4.371
2408,3.526
1608,3.765
2080,3.528
2792,3.904
1520,4.192
888,3.470
2344,4.178
2344,4.455
3176,3.078
2064,4.516
1248,4.360
2600,4.761
808,3.930
2712,3.369
2648,3.724
2936,4.805
1536,4.837
1128,3.434
1048,3.357
1672,3.491
2512,4.150
2632,3.067
800,3.830
1992,3.389
816,4.647
936,3.913
808,3.686
1416,4.481
920,4.443
912,4.005
1296,3.737
3168,4.412
3016,3.548
1832,4.703
2616,3.273
2624,4.845
2600,4.447
2232,4.070
1032,3.725
1208,4.698
1568,4.294
2264,4.769
2736,4.903
2944,3.726
2448,3.280
2480,4.689
2048,3.845
1408,3.134
2016,3.524
1056,3.718
2856,3.944
904,4.426
1744,3.884
3032,3.791
2632,3.016
1824,3.847
2840,4.473
1896,3.552
2704,3.187
1984,3.938
2784,3.863
2928,3.386
3016,4.360
3088,3.778
2776,3.813
1296,3.868
2768,4.742
896,3.097
1936,4.677
912,3.528
1328,3.462
2704,3.052
1352,3.021
1512,4.511
2840,4.137
2952,4.963
1864,3.017
2472,3.185
1432,4.369
2016,4.916
2424,3.379
1760,4.343
1744,4.229
2304,3.487
2720,4.594
1808,3.451
2376,3.505
1824,4.668
888,4.262
1424,4.933
1224,4.259
1216,3.462
872,4.057
1552,4.907
2712,3.468
2936,3.038
2248,4.613
1488,4.007
2624,3.742
1648,3.749
1744,4.896
2880,3.990
2240,3.964
1552,3.618
2856,4.950
2760,3.479
3176,4.447
1144,3.466
1400,3.401
3136,3.706
1384,3.268
1544,3.526
1416,3.632
1376,4.742
2136,4.367
3160,3.124
1824,4.036
1792,3.781
1048,3.376
2496,3.609
2648,4.662
1712,3.168
2280,3.685
2040,3.841
1512,3.711
856,4.729
3104,3.440
2648,3.350
2768,3.603
1600,3.734
2104,4.841
2368,4.910
3064,3.091
2440,4.551
1416,4.867
1560,3.695
1792,3.329
1656,3.695
1552,3.650
1464,4.762
1976,4.193
2000,3.811
1240,3.962
1992,3.703
880,3.581
1616,3.351
1096,4.932
1392,4.014
1936,4.833
952,4.152
2384,4.162
1752,3.423
1536,4.156
