2784,4.759
2096,4.707
816,3.558
1752,4.913
2224,4.826
1632,3.307
1880,4.778
2664,3.378
2848,3.465
3176,4.737
2632,4.248
1688,3.901
1600,3.643
2200,4.184
952,3.489
2456,4.253
832,4.832
904,3.714
992,3.987
2376,4.065
1816,3.220
2920,4.996
2696,4.982
1184,3.064
1040,3.550
2576,4.337
2952,3.250
1424,4.631
2256,4.456
3048,4.092
2080,3.624
1248,4.207
952,3.293
1528,4.701
1176,3.064
800,3.653
3056,4.421
1088,4.140
1664,3.333
2192,3.296
912,4.805
1672,3.332
2672,4.404
2832,4.389
904,3.338
2552,3.186
1856,4.517
2976,3.781
1832,4.976
1416,4.171
2360,3.447
1568,4.567
1552,3.358
2632,4.693
1648,4.382
2928,3.618
2232,3.196
1936,3.582
2992,3.220
2824,4.709
1480,3.083
2888,3.347
1608,4.810
920,4.988
3136,3.343
1496,3.523
1504,4.013
2696,3.082
2536,4.760
1592,3.038
1296,4.497
872,3.774
2224,4.153
3008,4.673
1240,3.216
1784,4.369
1600,4.327
1168,4.405
2192,4.921
1232,3.029
1488,4.545
1544,3.016
2400,4.638
2936,4.153
2144,4.431
2104,3.999
1672,3.636
2216,3.052
1592,4.208
1448,4.409
2288,4.938
2912,3.372
1768,3.084
2632,3.239
1912,3.372
3168,3.781
2000,3.213
1408,3.229
1824,3.342
2928,3.022
920,3.930
1536,3.624
1448,4.218
1856,3.850
3096,3.271
2512,3.336
808,4.950
984,4.677
2536,3.380
1768,4.139
2608,4.009
1680,3.569
1504,3.052
1920,3.084
1008,3.035
1080,4.971
2840,4.571
1640,4.150
1432,4.383
3120,4.227
1384,4.012
2072,3.641
2384,4.361
976,4.929
1352,4.201
1776,3.215
1728,3.436
2240,3.734
2752,4.093
2320,4.931
2280,4.138
2960,4.185
1128,4.296
1720,3.574
2648,4.095
1608,4.467
2688,4.871
1440,3.357
2088,4.459
1408,3.312
2160,3.890
1784,3.593
1816,3.756
1008,4.703
2384,4.430
1320,4.447
2784,4.460
2024,4.864
1288,3.553
872,3.715
