Data Size (bits),Deadline (s),CPU Cycles
2456,0.003557977802204093,101310
864,0.004025937685477231,35640
2648,0.004727816577042593,109230
1936,0.0034757599275600944,79860
2328,0.004485574923092737,96030
2600,0.004940244501307617,107250
2408,0.003463795235351569,99330
2040,0.004542202865083842,84150
2328,0.003573268535007095,96030
2768,0.003427409536478569,114180
2872,0.004955981454640849,118470
3136,0.004448946778616016,129360
1440,0.004694284680329513,59400
1368,0.004205622523315543,56430
3136,0.0031420984671838357,129360
1912,0.004783564061263195,78870
2736,0.003491042780941423,112860
2976,0.0039559005207930025,122760
2600,0.004600176201008263,107250
1288,0.0033764252369069205,53130
1096,0.003618270453201468,45210
2168,0.003963489075733056,89430
2920,0.0034963043755376557,120450
1512,0.0039008511518783236,62370
1720,0.004573091058157841,70950
976,0.003051003196347101,40260
2168,0.004370998594048164,89430
2408,0.003525655469633257,99330
1608,0.0037646207493438315,66330
2080,0.003527715135166993,85800
2792,0.003904271559870389,115170
1520,0.004192454153191326,62700
888,0.0034704435418035032,36630
2344,0.004177679341396011,96690
2344,0.00445469725397851,96690
3176,0.003077879419360408,131010
2064,0.004516248430252697,85140
1248,0.004360254866342275,51480
2600,0.004760613618596674,107250
808,0.003929548279730281,33330
2712,0.003369362994859634,111870
2648,0.0037244028865771606,109230
2936,0.004804562151876989,121110
1536,0.004836973984601731,63360
1128,0.0034344898423763668,46530
1048,0.003356865934743239,43230
1672,0.0034911118416202803,68970
2512,0.004150311097386209,103620
2632,0.0030665803793891396,108570
800,0.0038297484345006035,33000
1992,0.0033887320076316702,82170
816,0.0046473866071815645,33660
936,0.003912737413610794,38610
808,0.0036858757861115993,33330
1416,0.004480507970549461,58410
920,0.004443270492056968,37950
912,0.004005481049921949,37620
1296,0.003736908051901502,53460
3168,0.004412272833032547,130680
3016,0.003548002336054912,124410
1832,0.004703445396926702,75570
2616,0.00327279572026809,107910
2624,0.004845055281100486,108240
2600,0.004446968824643627,107250
2232,0.0040696352125186245,92070
1032,0.0037246441925450208,42570
1208,0.004697685612058331,49830
1568,0.00429428332201692,64680
2264,0.004769158695476518,93390
2736,0.004903208892844612,112860
2944,0.0037261879799604107,121440
2448,0.003279624705506773,100980
2480,0.004688986225358136,102300
2048,0.0038454239998743822,84480
1408,0.003133638803450465,58080
2016,0.0035241912351768982,83160
1056,0.0037177016877293855,43560
2856,0.003944208611331722,117810
904,0.004426167755558616,37290
1744,0.0038843418417891405,71940
3032,0.0037914175740929317,125070
2632,0.0030156459311085383,108570
1824,0.0038471529439418053,75240
2840,0.004473182646609486,117150
1896,0.0035521044666783053,78210
2704,0.0031872878030228006,111540
1984,0.003938385364011514,81840
2784,0.003862616286292699,114840
2928,0.003385702054290635,120780
3016,0.004359650999437694,124410
3088,0.0037783152184439907,127380
2776,0.00381334140864786,114510
1296,0.003867615884119554,53460
2768,0.004742112791223035,114180
896,0.00309719043644261,36960
1936,0.0046766619392489515,79860
912,0.003528401897325599,37620
1328,0.003461978930656021,54780
2704,0.003051995950027533,111540
1352,0.0030209121589440135,55770
1512,0.004511238914397992,62370
2840,0.004137362519438764,117150
2952,0.004962967846902824,121770
1864,0.003017003859877198,76890
2472,0.0031848682665249757,101970
1432,0.004369259484702944,59070
2016,0.004915591126054745,83160
2424,0.0033788881165977614,99990
1760,0.004343487654580082,72600
1744,0.004228500943549745,71940
2304,0.003486977624550671,95040
2720,0.004594126933525362,112200
1808,0.0034509656654856118,74580
2376,0.0035047634213168353,98010
1824,0.00466758461724561,75240
888,0.004262016685117029,36630
1424,0.004933245003338459,58740
1224,0.00425859447976266,50490
1216,0.0034624690072719323,50160
872,0.00405659560736695,35970
1552,0.004907469355866332,64020
2712,0.0034681300955658875,111870
2936,0.003037575576142169,121110
2248,0.004613096227380805,92730
1488,0.004006777540942325,61380
2624,0.0037421708387871664,108240
1648,0.0037491587812098653,67980
1744,0.004896133369739822,71940
2880,0.003989835633902143,118800
2240,0.003963913350378159,92400
1552,0.0036175905537605647,64020
2856,0.004949785556233613,117810
2760,0.003479437443661527,113850
3176,0.004447403004889925,131010
1144,0.003466422938329379,47190
1400,0.0034012043049418943,57750
3136,0.0037061600846458194,129360
1384,0.003267978252047084,57090
1544,0.003526316096220436,63690
1416,0.0036317585856267642,58410
1376,0.0047422170306744855,56760
2136,0.00436707476796283,88110
3160,0.0031238227050156865,130350
1824,0.004035969813784273,75240
1792,0.00378097211533475,73920
1048,0.003375877890698552,43230
2496,0.0036092623523638068,102960
2648,0.004662143229974415,109230
1712,0.0031683707352824822,70620
2280,0.0036853058050838605,94050
2040,0.0038408954006882807,84150
1512,0.003711043978599155,62370
856,0.0047290966985416025,35310
3104,0.003440200994093298,128040
2648,0.003349914885208324,109230
2768,0.003602648657347253,114180
1600,0.0037338325473944443,66000
2104,0.004841329019500198,86790
2368,0.004909695477595855,97680
3064,0.003090925223466508,126390
2440,0.004550950941695768,100650
1416,0.004867315597169403,58410
1560,0.00369529432987557,64350
1792,0.003328735094594439,73920
1656,0.003695007655018351,68310
1552,0.0036499101114360988,64020
1464,0.004761834673283922,60390
1976,0.004192792710597192,81510
2000,0.0038112536304825565,82500
1240,0.003961766043042533,51150
1992,0.003702745576934503,82170
880,0.003581158986283964,36300
1616,0.0033509880650822747,66660
1096,0.004931898132165241,45210
1392,0.004013900205732837,57420
1936,0.004833219516429553,79860
952,0.004152242339605766,39270
2384,0.004162148725555289,98340
1752,0.0034228342718998117,72270
1536,0.0041560090117902775,63360
