Data Size (bits),Deadline (s),CPU Cycles
2024,0.0037942906736671647,83490
2528,0.0040309936552616575,104280
2616,0.004036326530877694,107910
2664,0.004519431555214762,109890
1976,0.004440754735853795,81510
1272,0.004558213423225878,52470
1864,0.004225657507194415,76890
3128,0.004401327249696392,129030
1352,0.003783351974538588,55770
1616,0.003448531766520773,66660
2960,0.003472428639412733,122100
2096,0.0036296864620656184,86460
1792,0.004548083622088845,73920
1264,0.004428262186238719,52140
2760,0.00481956502028209,113850
1640,0.004972919421129787,67650
2168,0.003168758372549359,89430
2832,0.004303516588034427,116820
3192,0.0034480021190575953,131670
1928,0.004986980165332954,79530
1096,0.004091759476899411,45210
2696,0.0042791943172035,111210
2632,0.0036258021185873023,108570
3024,0.0036214333590278815,124740
2552,0.003311479936843589,105270
2656,0.0033699883564449937,109560
3184,0.004550484949809398,131340
1720,0.0044454301284991594,70950
2104,0.0033447235239588632,86790
2608,0.0047025534545573336,107580
