Data Size (bits),Deadline (s),CPU Cycles
2224,0.0030901830354170567,91740
1888,0.004426593892502218,77880
1408,0.0038778603334262618,58080
2096,0.004255879694364005,86460
888,0.003881270142778326,36630
2296,0.0038195025516812257,94710
2432,0.004578726153503767,100320
2904,0.00419804635873065,119790
2120,0.0042157303261846765,87450
1200,0.004346968241856403,49500
1440,0.003908406233380883,59400
1552,0.0037692925102472876,64020
2704,0.0031860818977156313,111540
3064,0.004883986595200472,126390
1152,0.0036528504807663426,47520
1416,0.004003318898901246,58410
2416,0.004315868864285351,99660
3048,0.004952293787357146,125730
1104,0.003588382787132414,45540
2456,0.004427459623823087,101310
1912,0.0032264220235089184,78870
928,0.003589822015223464,38280
2024,0.0042990972828771176,83490
2624,0.004910432048442743,108240
2400,0.003216230534273433,99000
2840,0.004922658446727381,117150
2792,0.0036599301401039506,115170
1824,0.0031084479068658093,75240
2760,0.004673906153702799,113850
3016,0.00454947915363359,124410
2064,0.0030489177150521654,85140
1104,0.004951225809167515,45540
1592,0.0036245458832079693,65670
2680,0.004594904195537939,110550
2688,0.0042641127991121935,110880
1760,0.0046651435959866976,72600
888,0.004526417272829134,36630
2880,0.003338666397367801,118800
2024,0.004708412283328172,83490
2456,0.0044950542409549835,101310
2744,0.004941092928728727,113190
2368,0.0033396380056047365,97680
2720,0.003624719193607727,112200
3184,0.0030836304054524494,131340
1008,0.004267607845128156,41580
2136,0.004849423003280203,88110
928,0.0032919665643957514,38280
1152,0.004952238320295654,47520
2664,0.004355887720363952,109890
2080,0.003085539653809509,85800
1488,0.003169290730453046,61380
2496,0.0031153086505127108,102960
864,0.004989093674201821,35640
3176,0.004604476692378899,131010
1184,0.0037235535710028367,48840
3184,0.0037694001002591773,131340
1200,0.0037327635035896652,49500
1520,0.004594200972888676,62700
1328,0.0035776631568008544,54780
2120,0.004120536109794903,87450
2856,0.004227596477732629,117810
1776,0.004582042197023359,73260
2184,0.004533593519767356,90090
1488,0.004308495042103635,61380
2536,0.0035189047879244347,104610
1608,0.0034320448792225316,66330
1888,0.004533998569487949,77880
1848,0.004250202923392527,76230
1680,0.003288791763805056,69300
1640,0.0032986774574800533,67650
1248,0.004664518842564927,51480
1880,0.003363445136905156,77550
3000,0.004723896325328091,123750
2264,0.0035790503542216085,93390
1936,0.004479452119115637,79860
2640,0.004375859605204729,108900
1032,0.004211230282393494,42570
1976,0.0030343856033645854,81510
1696,0.0031489181394133755,69960
1896,0.004354849247682836,78210
2752,0.004881437733366105,113520
1024,0.003788731311114444,42240
2400,0.004584380269836035,99000
3008,0.0037273297612406635,124080
1496,0.0035467472257072422,61710
944,0.004043669604994389,38940
2752,0.004309524523694236,113520
1568,0.003321199318901162,64680
808,0.0032542806249839817,33330
896,0.0038858453032176226,36960
896,0.00499380027299548,36960
1784,0.0035630610178514913,73590
1096,0.0032232057934324515,45210
1792,0.00495108200831562,73920
1344,0.004744539854160197,55440
808,0.003924390479319129,33330
1080,0.00300628653595914,44550
2200,0.0045350536041951954,90750
896,0.004021604386915248,36960
2656,0.0037623560606743936,109560
1456,0.004090619940426559,60060
920,0.0035204883227038433,37950
2952,0.004741218145713478,121770
2536,0.0031219225436638683,104610
2744,0.004367891050089076,113190
840,0.004600598827523861,34650
2888,0.003451477609550238,119130
1800,0.004547629132210867,74250
2392,0.0038874277542583803,98670
1592,0.0030533675009878215,65670
1640,0.003909865708502673,67650
1432,0.004918476473775035,59070
1688,0.004674182493142794,69630
2048,0.0044274272152445004,84480
1064,0.0033030258557983166,43890
1336,0.0034847749598748996,55110
1456,0.004690313639272357,60060
2608,0.004841472901695934,107580
2416,0.004467962456138954,99660
1320,0.0034540536941704125,54450
