Data Size (bits),Deadline (s),CPU Cycles
696448,2.0,28728480
727312,2.0,30001620
902704,2.0,37236540
809504,2.0,33392040
913264,2.0,37672140
785528,2.0,32403030
830904,2.0,34274790
848104,2.0,34984290
764696,2.0,31543710
876440,2.0,36153150
979192,2.0,40391670
1003360,2.0,41388600
907352,2.0,37428270
1017200,2.0,41959500
728296,2.0,30042210
723696,2.0,29852460
774408,2.0,31944330
901344,2.0,37180440
876128,2.0,36140280
616136,2.0,25415610
738344,2.0,30456690
727280,2.0,30000300
989848,2.0,40831230
655048,2.0,27020730
849072,2.0,35024220
615536,2.0,25390860
1006392,2.0,41513670
979232,2.0,40393320
765568,2.0,31579680
734336,2.0,30291360
845592,2.0,34880670
787536,2.0,32485860
812720,2.0,33524700
912512,2.0,37641120
955832,2.0,39428070
714960,2.0,29492100
969192,2.0,39979170
920544,2.0,37972440
636952,2.0,26274270
618168,2.0,25499430
883880,2.0,36460050
713088,2.0,29414880
975568,2.0,40242180
933480,2.0,38506050
805792,2.0,33238920
714064,2.0,29455140
926872,2.0,38233470
870512,2.0,35908620
665088,2.0,27434880
709656,2.0,29273310
746904,2.0,30809790
702784,2.0,28989840
650240,2.0,26822400
901352,2.0,37180770
884424,2.0,36482490
983144,2.0,40554690
1023944,2.0,42237690
957384,2.0,39492090
957408,2.0,39493080
728112,2.0,30034620
808376,2.0,33345510
679816,2.0,28042410
947232,2.0,39073320
957872,2.0,39512220
725752,2.0,29937270
871976,2.0,35969010
676280,2.0,27896550
902640,2.0,37233900
738368,2.0,30457680
671176,2.0,27686010
716560,2.0,29558100
683672,2.0,28201470
992952,2.0,40959270
848728,2.0,35010030
874520,2.0,36073950
775600,2.0,31993500
1006464,2.0,41516640
732880,2.0,30231300
760144,2.0,31355940
833312,2.0,34374120
716392,2.0,29551170
973696,2.0,40164960
643552,2.0,26546520
924160,2.0,38121600
716784,2.0,29567340
735152,2.0,30325020
914560,2.0,37725600
1001056,2.0,41293560
705624,2.0,29106990
637328,2.0,26289780
739992,2.0,30524670
615528,2.0,25390530
800608,2.0,33025080
876568,2.0,36158430
876464,2.0,36154140
982200,2.0,40515750
649320,2.0,26784450
641752,2.0,26472270
971808,2.0,40087080
688296,2.0,28392210
826752,2.0,34103520
1000584,2.0,41274090
717064,2.0,29578890
633992,2.0,26152170
633152,2.0,26117520
829856,2.0,34231560
793600,2.0,32736000
766072,2.0,31600470
831480,2.0,34298550
708256,2.0,29215560
808632,2.0,33356070
660448,2.0,27243480
979616,2.0,40409160
926304,2.0,38210040
710576,2.0,29311260
881240,2.0,36351150
669912,2.0,27633870
905096,2.0,37335210
840704,2.0,34679040
694144,2.0,28633440
903800,2.0,37281750
1013968,2.0,41826180
787120,2.0,32468700
655968,2.0,27058680
653648,2.0,26962980
970896,2.0,40049460
874000,2.0,36052500
903904,2.0,37286040
714792,2.0,29485170
702552,2.0,28980270
787808,2.0,32497080
904064,2.0,37292640
976936,2.0,40298610
966992,2.0,39888420
674464,2.0,27821640
662296,2.0,27319710
619104,2.0,25538040
1019520,2.0,42055200
640784,2.0,26432340
769480,2.0,31741050
834176,2.0,34409760
637848,2.0,26311230
1018920,2.0,42030450
642752,2.0,26513520
779280,2.0,32145300
725488,2.0,29926380
783392,2.0,32314920
973280,2.0,40147800
939296,2.0,38745960
881976,2.0,36381510
978152,2.0,40348770
838728,2.0,34597530
923296,2.0,38085960
715896,2.0,29530710
657248,2.0,27111480
1010288,2.0,41674380
813448,2.0,33554730
931304,2.0,38416290
785968,2.0,32421180
794608,2.0,32777580
807080,2.0,33292050
764976,2.0,31555260
776968,2.0,32049930
993320,2.0,40974450
942184,2.0,38865090
760544,2.0,31372440
1009200,2.0,41629500
867720,2.0,35793450
874368,2.0,36067680
625352,2.0,25795770
726064,2.0,29950140
760056,2.0,31352310
648224,2.0,26739240
866320,2.0,35735700
1019232,2.0,42043320
665320,2.0,27444450
896024,2.0,36960990
872008,2.0,35970330
715784,2.0,29526090
651864,2.0,26889390
