Data Size (bits),Deadline (s),CPU Cycles
812504,2.0,33515790
810656,2.0,33439560
677632,2.0,27952320
857264,2.0,35362140
805152,2.0,33212520
814360,2.0,33592350
706456,2.0,29141310
909072,2.0,37499220
1007928,2.0,41577030
667760,2.0,27545100
623712,2.0,25728120
786856,2.0,32457810
950648,2.0,39214230
855848,2.0,35303730
920904,2.0,37987290
894920,2.0,36915450
744216,2.0,30698910
614768,2.0,25359180
840592,2.0,34674420
727200,2.0,29997000
981176,2.0,40473510
944232,2.0,38949570
634296,2.0,26164710
895176,2.0,36926010
984056,2.0,40592310
884456,2.0,36483810
801960,2.0,33080850
900280,2.0,37136550
627560,2.0,25886850
655848,2.0,27053730
