Data Size (bits),Deadline (s),CPU Cycles
933960,2.0,38525850
836128,2.0,34490280
726488,2.0,29967630
923120,2.0,38078700
646128,2.0,26652780
800784,2.0,33032340
989432,2.0,40814070
701472,2.0,28935720
928520,2.0,38301450
786784,2.0,32454840
845312,2.0,34869120
931592,2.0,38428170
968760,2.0,39961350
844352,2.0,34829520
726560,2.0,29970600
736296,2.0,30372210
958560,2.0,39540600
1022808,2.0,42190830
657704,2.0,27130290
633432,2.0,26129070
716416,2.0,29552160
971408,2.0,40070580
1003848,2.0,41408730
742904,2.0,30644790
746728,2.0,30802530
794432,2.0,32770320
968448,2.0,39948480
937648,2.0,38677980
716864,2.0,29570640
907032,2.0,37415070
1014240,2.0,41837400
672648,2.0,27746730
806368,2.0,33262680
730568,2.0,30135930
775864,2.0,32004390
991776,2.0,40910760
720304,2.0,29712540
662024,2.0,27308490
972552,2.0,40117770
671976,2.0,27719010
622184,2.0,25665090
849720,2.0,35050950
812592,2.0,33519420
932864,2.0,38480640
770528,2.0,31784280
690712,2.0,28491870
770400,2.0,31779000
764152,2.0,31521270
619760,2.0,25565100
888160,2.0,36636600
818720,2.0,33772200
812808,2.0,33528330
678176,2.0,27974760
781008,2.0,32216580
726040,2.0,29949150
876568,2.0,36158430
966984,2.0,39888090
781320,2.0,32229450
826160,2.0,34079100
915736,2.0,37774110
865360,2.0,35696100
924824,2.0,38148990
741136,2.0,30571860
841840,2.0,34725900
1022432,2.0,42175320
761496,2.0,31411710
644936,2.0,26603610
948432,2.0,39122820
680624,2.0,28075740
907336,2.0,37427610
959048,2.0,39560730
1015504,2.0,41889540
754472,2.0,31121970
876472,2.0,36154470
678336,2.0,27981360
825408,2.0,34048080
829008,2.0,34196580
865040,2.0,35682900
726056,2.0,29949810
957816,2.0,39509910
898656,2.0,37069560
916208,2.0,37793580
853680,2.0,35214300
1013824,2.0,41820240
713984,2.0,29451840
1021856,2.0,42151560
939440,2.0,38751900
770952,2.0,31801770
857936,2.0,35389860
1003712,2.0,41403120
770376,2.0,31778010
697896,2.0,28788210
691648,2.0,28530480
671552,2.0,27701520
651440,2.0,26871900
697064,2.0,28753890
628680,2.0,25933050
748160,2.0,30861600
812920,2.0,33532950
954592,2.0,39376920
689240,2.0,28431150
942648,2.0,38884230
826576,2.0,34096260
679296,2.0,28020960
652224,2.0,26904240
891008,2.0,36754080
935152,2.0,38575020
926808,2.0,38230830
789632,2.0,32572320
1022864,2.0,42193140
705360,2.0,29096100
943856,2.0,38934060
918200,2.0,37875750
868368,2.0,35820180
634264,2.0,26163390
906088,2.0,37376130
725400,2.0,29922750
738120,2.0,30447450
796544,2.0,32857440
658048,2.0,27144480
