Data Size (bits),Deadline (s),CPU Cycles
995440,2.0,41061900
928256,2.0,38290560
860376,2.0,35490510
945448,2.0,38999730
935376,2.0,38584260
920544,2.0,37972440
936968,2.0,38649930
815136,2.0,33624360
731920,2.0,30191700
958360,2.0,39532350
914952,2.0,37741770
730728,2.0,30142530
1017712,2.0,41980620
876768,2.0,36166680
921384,2.0,38007090
962368,2.0,39697680
727216,2.0,29997660
620736,2.0,25605360
908840,2.0,37489650
717000,2.0,29576250
759064,2.0,31311390
804304,2.0,33177540
861432,2.0,35534070
923472,2.0,38093220
666344,2.0,27486690
905808,2.0,37364580
918552,2.0,37890270
863000,2.0,35598750
916920,2.0,37822950
775040,2.0,31970400
743888,2.0,30685380
640880,2.0,26436300
769344,2.0,31735440
700736,2.0,28905360
705504,2.0,29102040
643888,2.0,26560380
662928,2.0,27345780
904256,2.0,37300560
647680,2.0,26716800
640464,2.0,26419140
940952,2.0,38814270
830384,2.0,34253340
703016,2.0,28999410
674680,2.0,27830550
746424,2.0,30789990
677440,2.0,27944400
931256,2.0,38414310
878424,2.0,36234990
879008,2.0,36259080
914840,2.0,37737150
673200,2.0,27769500
842920,2.0,34770450
841944,2.0,34730190
889912,2.0,36708870
843936,2.0,34812360
733432,2.0,30254070
708600,2.0,29229750
734208,2.0,30286080
836256,2.0,34495560
821048,2.0,33868230
704152,2.0,29046270
832432,2.0,34337820
921232,2.0,38000820
854680,2.0,35255550
988952,2.0,40794270
1002616,2.0,41357910
887920,2.0,36626700
731064,2.0,30156390
694792,2.0,28660170
684704,2.0,28244040
826600,2.0,34097250
890384,2.0,36728340
727032,2.0,29990070
722192,2.0,29790420
699112,2.0,28838370
808576,2.0,33353760
642136,2.0,26488110
801576,2.0,33065010
723128,2.0,29829030
638304,2.0,26330040
934880,2.0,38563800
870576,2.0,35911260
936768,2.0,38641680
655664,2.0,27046140
651776,2.0,26885760
833624,2.0,34386990
810456,2.0,33431310
913704,2.0,37690290
773456,2.0,31905060
674344,2.0,27816690
