Data Size (bits),Deadline (s),CPU Cycles
758536,2.0,31289610
973240,2.0,40146150
910360,2.0,37552350
727616,2.0,30014160
738488,2.0,30462630
1013696,2.0,41814960
767968,2.0,31678680
918096,2.0,37871460
907464,2.0,37432890
718408,2.0,29634330
709944,2.0,29285190
627736,2.0,25894110
663152,2.0,27355020
676624,2.0,27910740
1007296,2.0,41550960
1015864,2.0,41904390
925040,2.0,38157900
864840,2.0,35674650
861968,2.0,35556180
906672,2.0,37400220
644448,2.0,26583480
889688,2.0,36699630
893160,2.0,36842850
753768,2.0,31092930
1010664,2.0,41689890
938376,2.0,38708010
622432,2.0,25675320
996232,2.0,41094570
859400,2.0,35450250
815400,2.0,33635250
923784,2.0,38106090
808080,2.0,33333300
635576,2.0,26217510
814736,2.0,33607860
858888,2.0,35429130
903720,2.0,37278450
791816,2.0,32662410
849576,2.0,35045010
858920,2.0,35430450
923416,2.0,38090910
863712,2.0,35628120
798272,2.0,32928720
711968,2.0,29368680
848192,2.0,34987920
728592,2.0,30054420
865208,2.0,35689830
674824,2.0,27836490
637496,2.0,26296710
820264,2.0,33835890
1006320,2.0,41510700
794872,2.0,32788470
924600,2.0,38139750
770320,2.0,31775700
749664,2.0,30923640
814576,2.0,33601260
987696,2.0,40742460
748512,2.0,30876120
680704,2.0,28079040
675656,2.0,27870810
796440,2.0,32853150
